cveID,vendor,product,state,cwe_description,vector_string,cweID,assignerShortName,datePublished
CVE-2013-0001,microsoft,n/a,PUBLISHED,"The Windows Forms (aka WinForms) component in Microsoft .NET Framework 1.0 SP3; 1.1 SP1; 2.0 SP2; 3.0 SP2; 4; and 4.5 does not properly initialize memory arrays; which allows remote attackers to obtain sensitive information via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application that leverages a pointer to an unmanaged memory location; aka ""System Drawing Information Disclosure Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0002,microsoft,n/a,PUBLISHED,"Buffer overflow in the Windows Forms (aka WinForms) component in Microsoft .NET Framework 1.0 SP3; 1.1 SP1; 2.0 SP2; 3.0 SP2; 3.5; 3.5.1; 4; and 4.5 allows remote attackers to execute arbitrary code via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application that leverages improper counting of objects during a memory copy operation; aka ""WinForms Buffer Overflow Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0003,microsoft,n/a,PUBLISHED,"Buffer overflow in a System.DirectoryServices.Protocols (S.DS.P) namespace method in Microsoft .NET Framework 2.0 SP2; 3.0 SP2; 3.5; 3.5.1; 4; and 4.5 allows remote attackers to execute arbitrary code via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application that leverages a missing array-size check during a memory copy operation; aka ""S.DS.P Buffer Overflow Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0004,microsoft,n/a,PUBLISHED,"Microsoft .NET Framework 1.0 SP3; 1.1 SP1; 2.0 SP2; 3.0 SP2; 3.5; 3.5.1; 4; and 4.5 does not properly validate the permissions of objects in memory; which allows remote attackers to execute arbitrary code via (1) a crafted XAML browser application (XBAP) or (2) a crafted .NET Framework application; aka ""Double Construction Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0005,microsoft,n/a,PUBLISHED,"The WCF Replace function in the Open Data (aka OData) protocol implementation in Microsoft .NET Framework 3.5; 3.5 SP1; 3.5.1; and 4; and the Management OData IIS Extension on Windows Server 2012; allows remote attackers to cause a denial of service (resource consumption and daemon restart) via crafted values in HTTP requests; aka ""Replace Denial of Service Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0006,microsoft,n/a,PUBLISHED,"Microsoft XML Core Services (aka MSXML) 3.0; 5.0; and 6.0 does not properly parse XML content; which allows remote attackers to execute arbitrary code via a crafted web page; aka ""MSXML Integer Truncation Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0007,microsoft,n/a,PUBLISHED,"Microsoft XML Core Services (aka MSXML) 4.0; 5.0; and 6.0 does not properly parse XML content; which allows remote attackers to execute arbitrary code via a crafted web page; aka ""MSXML XSLT Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0008,microsoft,n/a,PUBLISHED,"win32k.sys in the kernel-mode drivers in Microsoft Windows Vista SP2; Windows Server 2008 SP2; R2; and R2 SP1; Windows 7 Gold and SP1; Windows 8; Windows Server 2012; and Windows RT does not properly handle window broadcast messages; which allows local users to gain privileges via a crafted application; aka ""Win32k Improper Message Handling Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0009,microsoft,n/a,PUBLISHED,"Cross-site scripting (XSS) vulnerability in Microsoft System Center Operations Manager 2007 SP1 and R2 allows remote attackers to inject arbitrary web script or HTML via crafted input; aka ""System Center Operations Manager Web Console XSS Vulnerability;"" a different vulnerability than CVE-2013-0010.",,,microsoft,2013-01-09T18:00:00
CVE-2013-0010,microsoft,n/a,PUBLISHED,"Cross-site scripting (XSS) vulnerability in Microsoft System Center Operations Manager 2007 SP1 and R2 allows remote attackers to inject arbitrary web script or HTML via crafted input; aka ""System Center Operations Manager Web Console XSS Vulnerability;"" a different vulnerability than CVE-2013-0009.",,,microsoft,2013-01-09T18:00:00
CVE-2013-0011,microsoft,n/a,PUBLISHED,"The Print Spooler in Microsoft Windows Server 2008 R2 and R2 SP1 and Windows 7 Gold and SP1 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted print job; aka ""Windows Print Spooler Components Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0012,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0013,microsoft,n/a,PUBLISHED,"The SSL provider component in Microsoft Windows Vista SP2; Windows Server 2008 SP2; R2; and R2 SP1; Windows 7 Gold and SP1; Windows 8; Windows Server 2012; and Windows RT does not properly handle encrypted packets; which allows man-in-the-middle attackers to conduct SSLv2 downgrade attacks against (1) SSLv3 sessions or (2) TLS sessions by intercepting handshakes and injecting content; aka ""Microsoft SSL Version 3 and TLS Protocol Security Feature Bypass Vulnerability.""",,,microsoft,2013-01-09T18:00:00
CVE-2013-0014,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0015,microsoft,n/a,PUBLISHED,"Microsoft Internet Explorer 6 through 9 does not properly perform auto-selection of the Shift JIS encoding; which allows remote attackers to read content from a different (1) domain or (2) zone via a crafted web site that triggers cross-domain scrolling events; aka ""Shift JIS Character Encoding Vulnerability.""",,,microsoft,2013-02-13T11:00:00
CVE-2013-0016,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0017,microsoft,,REJECTED,,,,microsoft,2017-05-11T14:01:00
CVE-2013-0018,microsoft,n/a,PUBLISHED,"Use-after-free vulnerability in Microsoft Internet Explorer 6 through 9 allows remote attackers to execute arbitrary code via a crafted web site that triggers access to a deleted object; aka ""Internet Explorer SetCapture Use After Free Vulnerability.""",,,microsoft,2013-02-13T11:00:00
